COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
OECDTOT,BALANCE,CRNGFEED,STATDIFF,YTD2022,-39684.473
OECDTOT,BALANCE,CRNGFEED,STCHANAT,2020,9386.162
OECDTOT,BALANCE,CRNGFEED,STCHANAT,2021,-28326.807
OECDTOT,BALANCE,CRNGFEED,STCHANAT,3Q2022,-6099.526
OECDTOT,BALANCE,CRNGFEED,STCHANAT,Nov-21,-1947.939
OECDTOT,BALANCE,CRNGFEED,STCHANAT,Nov-22,-1561.888
OECDTOT,BALANCE,CRNGFEED,STCHANAT,YTD2021,-21193.786
OECDTOT,BALANCE,CRNGFEED,STCHANAT,YTD2022,-22835.918
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,2020,569152.811
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,2021,584037.824
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,3Q2022,147184.101
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,Nov-21,48753.348
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,Nov-22,51598.741
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,YTD2021,532031.977
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,YTD2022,536535.731
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,2020,1176481.129
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,2021,1192912.836
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,3Q2022,323620.577
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,Nov-21,103777.219
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,Nov-22,103520.263
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,YTD2021,1086917.741
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,YTD2022,1143096.249
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,2020,34187.21
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,2021,35197.951
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,3Q2022,9501.285
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,Nov-21,2982.116
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,Nov-22,3260.422
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,YTD2021,32248.046
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,YTD2022,33349.559
OECDTOT,BALANCE,TOTPRODS,BUNKERS,2020,71478.954
OECDTOT,BALANCE,TOTPRODS,BUNKERS,2021,78025.307
OECDTOT,BALANCE,TOTPRODS,BUNKERS,3Q2022,21879.359
OECDTOT,BALANCE,TOTPRODS,BUNKERS,Nov-21,6742.937
OECDTOT,BALANCE,TOTPRODS,BUNKERS,Nov-22,6796.273
OECDTOT,BALANCE,TOTPRODS,BUNKERS,YTD2021,70988.647
OECDTOT,BALANCE,TOTPRODS,BUNKERS,YTD2022,76258.852
OECDTOT,BALANCE,TOTPRODS,CSNATTER,2020,227550.263
OECDTOT,BALANCE,TOTPRODS,CSNATTER,2021,201890.194
OECDTOT,BALANCE,TOTPRODS,CSNATTER,1Q2022,203599.182
OECDTOT,BALANCE,TOTPRODS,CSNATTER,2Q2022,197913.349
OECDTOT,BALANCE,TOTPRODS,CSNATTER,3Q2022,199054.87
OECDTOT,BALANCE,TOTPRODS,CSNATTER,4Q2021,201473.696
OECDTOT,BALANCE,TOTPRODS,CSNATTER,Nov-21,204271.911
OECDTOT,BALANCE,TOTPRODS,CSNATTER,Nov-22,203351.189
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,2020,1706622.828
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,2021,1806690.039
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,3Q2022,474457.826
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,Nov-21,155849.492
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,Nov-22,155203.002
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,YTD2021,1644011.716
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,YTD2022,1694021.613
OECDTOT,BALANCE,TOTPRODS,IPTRANSF,2021,0
OECDTOT,BALANCE,TOTPRODS,IPTRANSF,YTD2021,0
OECDTOT,BALANCE,TOTPRODS,IPTRANSF,YTD2022,0
OECDTOT,BALANCE,TOTPRODS,OSNATTER,2020,228414.316
OECDTOT,BALANCE,TOTPRODS,OSNATTER,2021,224961.396
OECDTOT,BALANCE,TOTPRODS,OSNATTER,1Q2022,200876.729
OECDTOT,BALANCE,TOTPRODS,OSNATTER,2Q2022,197321.046
OECDTOT,BALANCE,TOTPRODS,OSNATTER,3Q2022,198661.655
OECDTOT,BALANCE,TOTPRODS,OSNATTER,4Q2021,209732.459
OECDTOT,BALANCE,TOTPRODS,OSNATTER,Nov-21,205355.167
OECDTOT,BALANCE,TOTPRODS,OSNATTER,Nov-22,200136.358
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,2020,253480.604
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,2021,259185.77
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,3Q2022,70786.273
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,Nov-21,22589.751
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,Nov-22,22918.498
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,YTD2021,237448.801
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,YTD2022,250331.329
OECDTOT,BALANCE,TOTPRODS,PTRANSF,2020,60443.094
OECDTOT,BALANCE,TOTPRODS,PTRANSF,2021,65905.309
OECDTOT,BALANCE,TOTPRODS,PTRANSF,3Q2022,17277.97
OECDTOT,BALANCE,TOTPRODS,PTRANSF,Nov-21,5695.087
OECDTOT,BALANCE,TOTPRODS,PTRANSF,Nov-22,6141.815
OECDTOT,BALANCE,TOTPRODS,PTRANSF,YTD2021,60145.537
OECDTOT,BALANCE,TOTPRODS,PTRANSF,YTD2022,62322.771
OECDTOT,BALANCE,TOTPRODS,RECYCLED,2020,1742.54
OECDTOT,BALANCE,TOTPRODS,RECYCLED,2021,1705.369
OECDTOT,BALANCE,TOTPRODS,RECYCLED,3Q2022,335.084
OECDTOT,BALANCE,TOTPRODS,RECYCLED,Nov-21,100.548
OECDTOT,BALANCE,TOTPRODS,RECYCLED,Nov-22,107.478
OECDTOT,BALANCE,TOTPRODS,RECYCLED,YTD2021,1584.498
OECDTOT,BALANCE,TOTPRODS,RECYCLED,YTD2022,1212.337
OECDTOT,BALANCE,TOTPRODS,REFFUEL,2020,73765.519
OECDTOT,BALANCE,TOTPRODS,REFFUEL,2021,76448.857
OECDTOT,BALANCE,TOTPRODS,REFFUEL,3Q2022,20427.584
