Date,Borderpoint,Exit,Entry,Gas Trade Flow(Million cubic metres
03/01/2010,Emden (NPT),Norway,Germany,204
04/01/2010,Emden (NPT),Norway,Germany,168
05/01/2010,Emden (NPT),Norway,Germany,247
06/01/2010,Emden (NPT),Norway,Germany,193
07/01/2010,Emden (NPT),Norway,Germany,307
08/01/2010,Emden (NPT),Norway,Germany,273
09/01/2010,Emden (NPT),Norway,Germany,294
10/01/2010,Emden (NPT),Norway,Germany,235
11/01/2010,Emden (NPT),Norway,Germany,252
12/01/2010,Emden (NPT),Norway,Germany,235
01/01/2011,Emden (NPT),Norway,Germany,340
02/01/2011,Emden (NPT),Norway,Germany,380
03/01/2011,Emden (NPT),Norway,Germany,404
04/01/2011,Emden (NPT),Norway,Germany,295
05/01/2011,Emden (NPT),Norway,Germany,304
06/01/2011,Emden (NPT),Norway,Germany,254
07/01/2011,Emden (NPT),Norway,Germany,294
08/01/2011,Emden (NPT),Norway,Germany,239
09/01/2011,Emden (NPT),Norway,Germany,209
10/01/2011,Emden (NPT),Norway,Germany,157
11/01/2011,Emden (NPT),Norway,Germany,213
12/01/2011,Emden (NPT),Norway,Germany,206
01/01/2012,Emden (NPT),Norway,Germany,170
02/01/2012,Emden (NPT),Norway,Germany,157
03/01/2012,Emden (NPT),Norway,Germany,271
04/01/2012,Emden (NPT),Norway,Germany,224
05/01/2012,Emden (NPT),Norway,Germany,197
06/01/2012,Emden (NPT),Norway,Germany,237
07/01/2012,Emden (NPT),Norway,Germany,226
08/01/2012,Emden (NPT),Norway,Germany,289
09/01/2012,Emden (NPT),Norway,Germany,207
10/01/2012,Emden (NPT),Norway,Germany,141
11/01/2012,Emden (NPT),Norway,Germany,203
12/01/2012,Emden (NPT),Norway,Germany,218
01/01/2013,Emden (NPT),Norway,Germany,222
02/01/2013,Emden (NPT),Norway,Germany,203
03/01/2013,Emden (NPT),Norway,Germany,120
04/01/2013,Emden (NPT),Norway,Germany,14
05/01/2013,Emden (NPT),Norway,Germany,169
06/01/2013,Emden (NPT),Norway,Germany,37
07/01/2013,Emden (NPT),Norway,Germany,233
08/01/2013,Emden (NPT),Norway,Germany,128
09/01/2013,Emden (NPT),Norway,Germany,120
10/01/2013,Emden (NPT),Norway,Germany,141
11/01/2013,Emden (NPT),Norway,Germany,154
12/01/2013,Emden (NPT),Norway,Germany,70
01/01/2014,Emden (NPT),Norway,Germany,40
02/01/2014,Emden (NPT),Norway,Germany,62
03/01/2014,Emden (NPT),Norway,Germany,94
04/01/2014,Emden (NPT),Norway,Germany,133
05/01/2014,Emden (NPT),Norway,Germany,159
06/01/2014,Emden (NPT),Norway,Germany,150
07/01/2014,Emden (NPT),Norway,Germany,282
08/01/2014,Emden (NPT),Norway,Germany,25
09/01/2014,Emden (NPT),Norway,Germany,73
10/01/2014,Emden (NPT),Norway,Germany,390
11/01/2014,Emden (NPT),Norway,Germany,250
12/01/2014,Emden (NPT),Norway,Germany,241
01/01/2015,Emden (NPT),Norway,Germany,197
02/01/2015,Emden (NPT),Norway,Germany,219
03/01/2015,Emden (NPT),Norway,Germany,135
04/01/2015,Emden (NPT),Norway,Germany,75
05/01/2015,Emden (NPT),Norway,Germany,161
06/01/2015,Emden (NPT),Norway,Germany,152
07/01/2015,Emden (NPT),Norway,Germany,168
08/01/2015,Emden (NPT),Norway,Germany,137
09/01/2015,Emden (NPT),Norway,Germany,57
10/01/2015,Emden (NPT),Norway,Germany,0
11/01/2015,Emden (NPT),Norway,Germany,0
12/01/2015,Emden (NPT),Norway,Germany,0
01/01/2016,Emden (NPT),Norway,Germany,0
02/01/2016,Emden (NPT),Norway,Germany,0
03/01/2016,Emden (NPT),Norway,Germany,0
04/01/2016,Emden (NPT),Norway,Germany,0
05/01/2016,Emden (NPT),Norway,Germany,0
06/01/2016,Emden (NPT),Norway,Germany,0
07/01/2016,Emden (NPT),Norway,Germany,0
08/01/2016,Emden (NPT),Norway,Germany,0
09/01/2016,Emden (NPT),Norway,Germany,0
10/01/2016,Emden (NPT),Norway,Germany,0
11/01/2016,Emden (NPT),Norway,Germany,350
12/01/2016,Emden (NPT),Norway,Germany,0
01/01/2017,Emden (NPT),Norway,Germany,0
02/01/2017,Emden (NPT),Norway,Germany,0
03/01/2017,Emden (NPT),Norway,Germany,0
04/01/2017,Emden (NPT),Norway,Germany,0
05/01/2017,Emden (NPT),Norway,Germany,0
06/01/2017,Emden (NPT),Norway,Germany,0
07/01/2017,Emden (NPT),Norway,Germany,0
08/01/2017,Emden (NPT),Norway,Germany,0
09/01/2017,Emden (NPT),Norway,Germany,0
10/01/2017,Emden (NPT),Norway,Germany,0
11/01/2017,Emden (NPT),Norway,Germany,0
12/01/2017,Emden (NPT),Norway,Germany,0
01/01/2018,Emden (NPT),Norway,Germany,0
02/01/2018,Emden (NPT),Norway,Germany,0
03/01/2018,Emden (NPT),Norway,Germany,0
04/01/2018,Emden (NPT),Norway,Germany,0
05/01/2018,Emden (NPT),Norway,Germany,0
06/01/2018,Emden (NPT),Norway,Germany,0
07/01/2018,Emden (NPT),Norway,Germany,0
08/01/2018,Emden (NPT),Norway,Germany,0
09/01/2018,Emden (NPT),Norway,Germany,0
10/01/2018,Emden (NPT),Norway,Germany,0
11/01/2018,Emden (NPT),Norway,Germany,0
12/01/2018,Emden (NPT),Norway,Germany,0
01/01/2019,Emden (NPT),Norway,Germany,0
02/01/2019,Emden (NPT),Norway,Germany,0
03/01/2019,Emden (NPT),Norway,Germany,0
04/01/2019,Emden (NPT),Norway,Germany,0
05/01/2019,Emden (NPT),Norway,Germany,0
06/01/2019,Emden (NPT),Norway,Germany,0
07/01/2019,Emden (NPT),Norway,Germany,0
08/01/2019,Emden (NPT),Norway,Germany,0
09/01/2019,Emden (NPT),Norway,Germany,0
10/01/2019,Emden (NPT),Norway,Germany,0
11/01/2019,Emden (NPT),Norway,Germany,0
12/01/2019,Emden (NPT),Norway,Germany,0
01/01/2020,Emden (NPT),Norway,Germany,0
02/01/2020,Emden (NPT),Norway,Germany,0
03/01/2020,Emden (NPT),Norway,Germany,0
04/01/2020,Emden (NPT),Norway,Germany,0
05/01/2020,Emden (NPT),Norway,Germany,0
06/01/2020,Emden (NPT),Norway,Germany,0
07/01/2020,Emden (NPT),Norway,Germany,0
08/01/2020,Emden (NPT),Norway,Germany,0
09/01/2020,Emden (NPT),Norway,Germany,0
10/01/2020,Emden (NPT),Norway,Germany,0
11/01/2020,Emden (NPT),Norway,Germany,0
12/01/2020,Emden (NPT),Norway,Germany,0
01/01/2021,Emden (NPT),Norway,Germany,0
02/01/2021,Emden (NPT),Norway,Germany,0
03/01/2021,Emden (NPT),Norway,Germany,0
04/01/2021,Emden (NPT),Norway,Germany,0
05/01/2021,Emden (NPT),Norway,Germany,0
06/01/2021,Emden (NPT),Norway,Germany,0
07/01/2021,Emden (NPT),Norway,Germany,0
08/01/2021,Emden (NPT),Norway,Germany,0
09/01/2021,Emden (NPT),Norway,Germany,0
10/01/2021,Emden (NPT),Norway,Germany,0
11/01/2021,Emden (NPT),Norway,Germany,0
12/01/2021,Emden (NPT),Norway,Germany,0
01/01/2022,Emden (NPT),Norway,Germany,0
02/01/2022,Emden (NPT),Norway,Germany,0
03/01/2022,Emden (NPT),Norway,Germany,0
04/01/2022,Emden (NPT),Norway,Germany,0
05/01/2022,Emden (NPT),Norway,Germany,0
06/01/2022,Emden (NPT),Norway,Germany,0
07/01/2022,Emden (NPT),Norway,Germany,0
08/01/2022,Emden (NPT),Norway,Germany,0
09/01/2022,Emden (NPT),Norway,Germany,0
10/01/2022,Emden (NPT),Norway,Germany,0
11/01/2022,Emden (NPT),Norway,Germany,0
12/01/2022,Emden (NPT),Norway,Germany,0
10/01/2008,Eynatten (EON/RWE),Belgium,Germany,0
11/01/2008,Eynatten (EON/RWE),Belgium,Germany,0
12/01/2008,Eynatten (EON/RWE),Belgium,Germany,0
01/01/2009,Eynatten (EON/RWE),Belgium,Germany,199
02/01/2009,Eynatten (EON/RWE),Belgium,Germany,0
03/01/2009,Eynatten (EON/RWE),Belgium,Germany,0
04/01/2009,Eynatten (EON/RWE),Belgium,Germany,0
05/01/2009,Eynatten (EON/RWE),Belgium,Germany,0
06/01/2009,Eynatten (EON/RWE),Belgium,Germany,0
07/01/2009,Eynatten (EON/RWE),Belgium,Germany,0
08/01/2009,Eynatten (EON/RWE),Belgium,Germany,0
09/01/2009,Eynatten (EON/RWE),Belgium,Germany,0
10/01/2009,Eynatten (EON/RWE),Belgium,Germany,6
11/01/2009,Eynatten (EON/RWE),Belgium,Germany,0
12/01/2009,Eynatten (EON/RWE),Belgium,Germany,0
01/01/2010,Eynatten (EON/RWE),Belgium,Germany,0
02/01/2010,Eynatten (EON/RWE),Belgium,Germany,0
03/01/2010,Eynatten (EON/RWE),Belgium,Germany,0
04/01/2010,Eynatten (EON/RWE),Belgium,Germany,0
05/01/2010,Eynatten (EON/RWE),Belgium,Germany,49
06/01/2010,Eynatten (EON/RWE),Belgium,Germany,199
07/01/2010,Eynatten (EON/RWE),Belgium,Germany,278
08/01/2010,Eynatten (EON/RWE),Belgium,Germany,197
09/01/2010,Eynatten (EON/RWE),Belgium,Germany,74
10/01/2010,Eynatten (EON/RWE),Belgium,Germany,225
11/01/2010,Eynatten (EON/RWE),Belgium,Germany,0
12/01/2010,Eynatten (EON/RWE),Belgium,Germany,0
01/01/2011,Eynatten (EON/RWE),Belgium,Germany,0
02/01/2011,Eynatten (EON/RWE),Belgium,Germany,0
03/01/2011,Eynatten (EON/RWE),Belgium,Germany,0
04/01/2011,Eynatten (EON/RWE),Belgium,Germany,185
05/01/2011,Eynatten (EON/RWE),Belgium,Germany,268
06/01/2011,Eynatten (EON/RWE),Belgium,Germany,153
07/01/2011,Eynatten (EON/RWE),Belgium,Germany,172
08/01/2011,Eynatten (EON/RWE),Belgium,Germany,285
09/01/2011,Eynatten (EON/RWE),Belgium,Germany,270
10/01/2011,Eynatten (EON/RWE),Belgium,Germany,205
11/01/2011,Eynatten (EON/RWE),Belgium,Germany,203
12/01/2011,Eynatten (EON/RWE),Belgium,Germany,0
01/01/2012,Eynatten (EON/RWE),Belgium,Germany,0
02/01/2012,Eynatten (EON/RWE),Belgium,Germany,0
03/01/2012,Eynatten (EON/RWE),Belgium,Germany,0
04/01/2012,Eynatten (EON/RWE),Belgium,Germany,0
05/01/2012,Eynatten (EON/RWE),Belgium,Germany,0
06/01/2012,Eynatten (EON/RWE),Belgium,Germany,31
07/01/2012,Eynatten (EON/RWE),Belgium,Germany,138
08/01/2012,Eynatten (EON/RWE),Belgium,Germany,130
09/01/2012,Eynatten (EON/RWE),Belgium,Germany,1
10/01/2012,Eynatten (EON/RWE),Belgium,Germany,0
11/01/2012,Eynatten (EON/RWE),Belgium,Germany,0
12/01/2012,Eynatten (EON/RWE),Belgium,Germany,0
01/01/2013,Eynatten (EON/RWE),Belgium,Germany,0
02/01/2013,Eynatten (EON/RWE),Belgium,Germany,0
03/01/2013,Eynatten (EON/RWE),Belgium,Germany,0
04/01/2013,Eynatten (EON/RWE),Belgium,Germany,24
05/01/2013,Eynatten (EON/RWE),Belgium,Germany,159
06/01/2013,Eynatten (EON/RWE),Belgium,Germany,198
07/01/2013,Eynatten (EON/RWE),Belgium,Germany,224
08/01/2013,Eynatten (EON/RWE),Belgium,Germany,259
09/01/2013,Eynatten (EON/RWE),Belgium,Germany,73
10/01/2013,Eynatten (EON/RWE),Belgium,Germany,46
11/01/2013,Eynatten (EON/RWE),Belgium,Germany,0
12/01/2013,Eynatten (EON/RWE),Belgium,Germany,0
01/01/2014,Eynatten (EON/RWE),Belgium,Germany,0
02/01/2014,Eynatten (EON/RWE),Belgium,Germany,1
03/01/2014,Eynatten (EON/RWE),Belgium,Germany,8
04/01/2014,Eynatten (EON/RWE),Belgium,Germany,136
05/01/2014,Eynatten (EON/RWE),Belgium,Germany,180
06/01/2014,Eynatten (EON/RWE),Belgium,Germany,39
07/01/2014,Eynatten (EON/RWE),Belgium,Germany,140
08/01/2014,Eynatten (EON/RWE),Belgium,Germany,0
09/01/2014,Eynatten (EON/RWE),Belgium,Germany,227
10/01/2014,Eynatten (EON/RWE),Belgium,Germany,107
11/01/2014,Eynatten (EON/RWE),Belgium,Germany,22
12/01/2014,Eynatten (EON/RWE),Belgium,Germany,0
01/01/2015,Eynatten (EON/RWE),Belgium,Germany,27
02/01/2015,Eynatten (EON/RWE),Belgium,Germany,29
03/01/2015,Eynatten (EON/RWE),Belgium,Germany,74
04/01/2015,Eynatten (EON/RWE),Belgium,Germany,105
05/01/2015,Eynatten (EON/RWE),Belgium,Germany,96
06/01/2015,Eynatten (EON/RWE),Belgium,Germany,131
07/01/2015,Eynatten (EON/RWE),Belgium,Germany,269
08/01/2015,Eynatten (EON/RWE),Belgium,Germany,398
09/01/2015,Eynatten (EON/RWE),Belgium,Germany,342
10/01/2015,Eynatten (EON/RWE),Belgium,Germany,187
11/01/2015,Eynatten (EON/RWE),Belgium,Germany,123
12/01/2015,Eynatten (EON/RWE),Belgium,Germany,12
01/01/2016,Eynatten (EON/RWE),Belgium,Germany,5
02/01/2016,Eynatten (EON/RWE),Belgium,Germany,14
03/01/2016,Eynatten (EON/RWE),Belgium,Germany,0
04/01/2016,Eynatten (EON/RWE),Belgium,Germany,88
05/01/2016,Eynatten (EON/RWE),Belgium,Germany,131
06/01/2016,Eynatten (EON/RWE),Belgium,Germany,81
07/01/2016,Eynatten (EON/RWE),Belgium,Germany,253
08/01/2016,Eynatten (EON/RWE),Belgium,Germany,118
09/01/2016,Eynatten (EON/RWE),Belgium,Germany,206
10/01/2016,Eynatten (EON/RWE),Belgium,Germany,16
11/01/2016,Eynatten (EON/RWE),Belgium,Germany,0
12/01/2016,Eynatten (EON/RWE),Belgium,Germany,0
01/01/2017,Eynatten (EON/RWE),Belgium,Germany,0
02/01/2017,Eynatten (EON/RWE),Belgium,Germany,0
03/01/2017,Eynatten (EON/RWE),Belgium,Germany,270
04/01/2017,Eynatten (EON/RWE),Belgium,Germany,357
05/01/2017,Eynatten (EON/RWE),Belgium,Germany,411
06/01/2017,Eynatten (EON/RWE),Belgium,Germany,421
07/01/2017,Eynatten (EON/RWE),Belgium,Germany,472
08/01/2017,Eynatten (EON/RWE),Belgium,Germany,344
09/01/2017,Eynatten (EON/RWE),Belgium,Germany,194
10/01/2017,Eynatten (EON/RWE),Belgium,Germany,239
11/01/2017,Eynatten (EON/RWE),Belgium,Germany,41
12/01/2017,Eynatten (EON/RWE),Belgium,Germany,1
01/01/2018,Eynatten (EON/RWE),Belgium,Germany,0
02/01/2018,Eynatten (EON/RWE),Belgium,Germany,0
03/01/2018,Eynatten (EON/RWE),Belgium,Germany,0
04/01/2018,Eynatten (EON/RWE),Belgium,Germany,59
05/01/2018,Eynatten (EON/RWE),Belgium,Germany,219
06/01/2018,Eynatten (EON/RWE),Belgium,Germany,129
07/01/2018,Eynatten (EON/RWE),Belgium,Germany,467
08/01/2018,Eynatten (EON/RWE),Belgium,Germany,349
09/01/2018,Eynatten (EON/RWE),Belgium,Germany,267
10/01/2018,Eynatten (EON/RWE),Belgium,Germany,36
11/01/2018,Eynatten (EON/RWE),Belgium,Germany,18
12/01/2018,Eynatten (EON/RWE),Belgium,Germany,7
01/01/2019,Eynatten (EON/RWE),Belgium,Germany,0
02/01/2019,Eynatten (EON/RWE),Belgium,Germany,11
03/01/2019,Eynatten (EON/RWE),Belgium,Germany,42
04/01/2019,Eynatten (EON/RWE),Belgium,Germany,199
05/01/2019,Eynatten (EON/RWE),Belgium,Germany,313
06/01/2019,Eynatten (EON/RWE),Belgium,Germany,217
07/01/2019,Eynatten (EON/RWE),Belgium,Germany,9
08/01/2019,Eynatten (EON/RWE),Belgium,Germany,0
09/01/2019,Eynatten (EON/RWE),Belgium,Germany,34
10/01/2019,Eynatten (EON/RWE),Belgium,Germany,6
11/01/2019,Eynatten (EON/RWE),Belgium,Germany,13
12/01/2019,Eynatten (EON/RWE),Belgium,Germany,6
01/01/2020,Eynatten (EON/RWE),Belgium,Germany,16
02/01/2020,Eynatten (EON/RWE),Belgium,Germany,2
03/01/2020,Eynatten (EON/RWE),Belgium,Germany,125
04/01/2020,Eynatten (EON/RWE),Belgium,Germany,243
05/01/2020,Eynatten (EON/RWE),Belgium,Germany,339
06/01/2020,Eynatten (EON/RWE),Belgium,Germany,30
07/01/2020,Eynatten (EON/RWE),Belgium,Germany,8
08/01/2020,Eynatten (EON/RWE),Belgium,Germany,15
09/01/2020,Eynatten (EON/RWE),Belgium,Germany,0
10/01/2020,Eynatten (EON/RWE),Belgium,Germany,0
11/01/2020,Eynatten (EON/RWE),Belgium,Germany,0
12/01/2020,Eynatten (EON/RWE),Belgium,Germany,0
01/01/2021,Eynatten (EON/RWE),Belgium,Germany,0
02/01/2021,Eynatten (EON/RWE),Belgium,Germany,0
03/01/2021,Eynatten (EON/RWE),Belgium,Germany,199
04/01/2021,Eynatten (EON/RWE),Belgium,Germany,124
05/01/2021,Eynatten (EON/RWE),Belgium,Germany,21
06/01/2021,Eynatten (EON/RWE),Belgium,Germany,1
07/01/2021,Eynatten (EON/RWE),Belgium,Germany,1
08/01/2021,Eynatten (EON/RWE),Belgium,Germany,3
09/01/2021,Eynatten (EON/RWE),Belgium,Germany,38
10/01/2021,Eynatten (EON/RWE),Belgium,Germany,463
11/01/2021,Eynatten (EON/RWE),Belgium,Germany,148
12/01/2021,Eynatten (EON/RWE),Belgium,Germany,174
01/01/2022,Eynatten (EON/RWE),Belgium,Germany,660
02/01/2022,Eynatten (EON/RWE),Belgium,Germany,767
03/01/2022,Eynatten (EON/RWE),Belgium,Germany,917
04/01/2022,Eynatten (EON/RWE),Belgium,Germany,0
05/01/2022,Eynatten (EON/RWE),Belgium,Germany,0
06/01/2022,Eynatten (EON/RWE),Belgium,Germany,0
07/01/2022,Eynatten (EON/RWE),Belgium,Germany,0
08/01/2022,Eynatten (EON/RWE),Belgium,Germany,0
09/01/2022,Eynatten (EON/RWE),Belgium,Germany,0
10/01/2022,Eynatten (EON/RWE),Belgium,Germany,0
11/01/2022,Eynatten (EON/RWE),Belgium,Germany,0
12/01/2022,Eynatten (EON/RWE),Belgium,Germany,0
10/01/2008,Eynatten (Sum),Belgium,Germany,282
11/01/2008,Eynatten (Sum),Belgium,Germany,94
12/01/2008,Eynatten (Sum),Belgium,Germany,1
01/01/2009,Eynatten (Sum),Belgium,Germany,343
02/01/2009,Eynatten (Sum),Belgium,Germany,43
03/01/2009,Eynatten (Sum),Belgium,Germany,203
04/01/2009,Eynatten (Sum),Belgium,Germany,0
05/01/2009,Eynatten (Sum),Belgium,Germany,0
06/01/2009,Eynatten (Sum),Belgium,Germany,0
07/01/2009,Eynatten (Sum),Belgium,Germany,0
08/01/2009,Eynatten (Sum),Belgium,Germany,0
09/01/2009,Eynatten (Sum),Belgium,Germany,0
10/01/2009,Eynatten (Sum),Belgium,Germany,165
11/01/2009,Eynatten (Sum),Belgium,Germany,50
12/01/2009,Eynatten (Sum),Belgium,Germany,141
01/01/2010,Eynatten (Sum),Belgium,Germany,42
02/01/2010,Eynatten (Sum),Belgium,Germany,0
03/01/2010,Eynatten (Sum),Belgium,Germany,131
04/01/2010,Eynatten (Sum),Belgium,Germany,162
05/01/2010,Eynatten (Sum),Belgium,Germany,339
06/01/2010,Eynatten (Sum),Belgium,Germany,457
07/01/2010,Eynatten (Sum),Belgium,Germany,517
08/01/2010,Eynatten (Sum),Belgium,Germany,562
09/01/2010,Eynatten (Sum),Belgium,Germany,301
10/01/2010,Eynatten (Sum),Belgium,Germany,656
11/01/2010,Eynatten (Sum),Belgium,Germany,236
12/01/2010,Eynatten (Sum),Belgium,Germany,50
01/01/2011,Eynatten (Sum),Belgium,Germany,0
02/01/2011,Eynatten (Sum),Belgium,Germany,73
03/01/2011,Eynatten (Sum),Belgium,Germany,274
04/01/2011,Eynatten (Sum),Belgium,Germany,514
05/01/2011,Eynatten (Sum),Belgium,Germany,653
06/01/2011,Eynatten (Sum),Belgium,Germany,407
07/01/2011,Eynatten (Sum),Belgium,Germany,425
08/01/2011,Eynatten (Sum),Belgium,Germany,591
09/01/2011,Eynatten (Sum),Belgium,Germany,270
10/01/2011,Eynatten (Sum),Belgium,Germany,436
11/01/2011,Eynatten (Sum),Belgium,Germany,390
12/01/2011,Eynatten (Sum),Belgium,Germany,242
01/01/2012,Eynatten (Sum),Belgium,Germany,189
02/01/2012,Eynatten (Sum),Belgium,Germany,120
03/01/2012,Eynatten (Sum),Belgium,Germany,305
04/01/2012,Eynatten (Sum),Belgium,Germany,270
05/01/2012,Eynatten (Sum),Belgium,Germany,242
06/01/2012,Eynatten (Sum),Belgium,Germany,232
07/01/2012,Eynatten (Sum),Belgium,Germany,315
08/01/2012,Eynatten (Sum),Belgium,Germany,402
09/01/2012,Eynatten (Sum),Belgium,Germany,43
10/01/2012,Eynatten (Sum),Belgium,Germany,16
11/01/2012,Eynatten (Sum),Belgium,Germany,11
12/01/2012,Eynatten (Sum),Belgium,Germany,38
01/01/2013,Eynatten (Sum),Belgium,Germany,63
02/01/2013,Eynatten (Sum),Belgium,Germany,51
03/01/2013,Eynatten (Sum),Belgium,Germany,0
04/01/2013,Eynatten (Sum),Belgium,Germany,169
05/01/2013,Eynatten (Sum),Belgium,Germany,449
06/01/2013,Eynatten (Sum),Belgium,Germany,484
07/01/2013,Eynatten (Sum),Belgium,Germany,551
08/01/2013,Eynatten (Sum),Belgium,Germany,340
09/01/2013,Eynatten (Sum),Belgium,Germany,298
10/01/2013,Eynatten (Sum),Belgium,Germany,110
11/01/2013,Eynatten (Sum),Belgium,Germany,12
12/01/2013,Eynatten (Sum),Belgium,Germany,0
01/01/2014,Eynatten (Sum),Belgium,Germany,0
02/01/2014,Eynatten (Sum),Belgium,Germany,13
03/01/2014,Eynatten (Sum),Belgium,Germany,8
04/01/2014,Eynatten (Sum),Belgium,Germany,254
05/01/2014,Eynatten (Sum),Belgium,Germany,306
06/01/2014,Eynatten (Sum),Belgium,Germany,108
07/01/2014,Eynatten (Sum),Belgium,Germany,262
08/01/2014,Eynatten (Sum),Belgium,Germany,103
09/01/2014,Eynatten (Sum),Belgium,Germany,315
10/01/2014,Eynatten (Sum),Belgium,Germany,130
11/01/2014,Eynatten (Sum),Belgium,Germany,60
12/01/2014,Eynatten (Sum),Belgium,Germany,5
01/01/2015,Eynatten (Sum),Belgium,Germany,27
02/01/2015,Eynatten (Sum),Belgium,Germany,29
03/01/2015,Eynatten (Sum),Belgium,Germany,74
04/01/2015,Eynatten (Sum),Belgium,Germany,105
05/01/2015,Eynatten (Sum),Belgium,Germany,96
06/01/2015,Eynatten (Sum),Belgium,Germany,133
07/01/2015,Eynatten (Sum),Belgium,Germany,269
08/01/2015,Eynatten (Sum),Belgium,Germany,496
09/01/2015,Eynatten (Sum),Belgium,Germany,355
10/01/2015,Eynatten (Sum),Belgium,Germany,187
11/01/2015,Eynatten (Sum),Belgium,Germany,125
12/01/2015,Eynatten (Sum),Belgium,Germany,12
01/01/2016,Eynatten (Sum),Belgium,Germany,5
02/01/2016,Eynatten (Sum),Belgium,Germany,14
03/01/2016,Eynatten (Sum),Belgium,Germany,0
04/01/2016,Eynatten (Sum),Belgium,Germany,88
05/01/2016,Eynatten (Sum),Belgium,Germany,131
06/01/2016,Eynatten (Sum),Belgium,Germany,81
07/01/2016,Eynatten (Sum),Belgium,Germany,253
08/01/2016,Eynatten (Sum),Belgium,Germany,127
09/01/2016,Eynatten (Sum),Belgium,Germany,206
10/01/2016,Eynatten (Sum),Belgium,Germany,16
11/01/2016,Eynatten (Sum),Belgium,Germany,0
12/01/2016,Eynatten (Sum),Belgium,Germany,0
01/01/2017,Eynatten (Sum),Belgium,Germany,0
02/01/2017,Eynatten (Sum),Belgium,Germany,0
03/01/2017,Eynatten (Sum),Belgium,Germany,270
04/01/2017,Eynatten (Sum),Belgium,Germany,357
05/01/2017,Eynatten (Sum),Belgium,Germany,411
06/01/2017,Eynatten (Sum),Belgium,Germany,421
07/01/2017,Eynatten (Sum),Belgium,Germany,472
08/01/2017,Eynatten (Sum),Belgium,Germany,344
09/01/2017,Eynatten (Sum),Belgium,Germany,194
10/01/2017,Eynatten (Sum),Belgium,Germany,239
11/01/2017,Eynatten (Sum),Belgium,Germany,41
12/01/2017,Eynatten (Sum),Belgium,Germany,1
01/01/2018,Eynatten (Sum),Belgium,Germany,0
02/01/2018,Eynatten (Sum),Belgium,Germany,0
03/01/2018,Eynatten (Sum),Belgium,Germany,0
04/01/2018,Eynatten (Sum),Belgium,Germany,59
05/01/2018,Eynatten (Sum),Belgium,Germany,219
06/01/2018,Eynatten (Sum),Belgium,Germany,129
07/01/2018,Eynatten (Sum),Belgium,Germany,469
08/01/2018,Eynatten (Sum),Belgium,Germany,349
09/01/2018,Eynatten (Sum),Belgium,Germany,267
10/01/2018,Eynatten (Sum),Belgium,Germany,36
11/01/2018,Eynatten (Sum),Belgium,Germany,18
12/01/2018,Eynatten (Sum),Belgium,Germany,7
01/01/2019,Eynatten (Sum),Belgium,Germany,0
02/01/2019,Eynatten (Sum),Belgium,Germany,11
03/01/2019,Eynatten (Sum),Belgium,Germany,42
04/01/2019,Eynatten (Sum),Belgium,Germany,201
05/01/2019,Eynatten (Sum),Belgium,Germany,313
06/01/2019,Eynatten (Sum),Belgium,Germany,217
07/01/2019,Eynatten (Sum),Belgium,Germany,9
08/01/2019,Eynatten (Sum),Belgium,Germany,0
09/01/2019,Eynatten (Sum),Belgium,Germany,34
10/01/2019,Eynatten (Sum),Belgium,Germany,6
11/01/2019,Eynatten (Sum),Belgium,Germany,13
12/01/2019,Eynatten (Sum),Belgium,Germany,11
01/01/2020,Eynatten (Sum),Belgium,Germany,16
02/01/2020,Eynatten (Sum),Belgium,Germany,17
03/01/2020,Eynatten (Sum),Belgium,Germany,148
04/01/2020,Eynatten (Sum),Belgium,Germany,243
05/01/2020,Eynatten (Sum),Belgium,Germany,401
06/01/2020,Eynatten (Sum),Belgium,Germany,34
07/01/2020,Eynatten (Sum),Belgium,Germany,8
08/01/2020,Eynatten (Sum),Belgium,Germany,15
09/01/2020,Eynatten (Sum),Belgium,Germany,0
10/01/2020,Eynatten (Sum),Belgium,Germany,0
11/01/2020,Eynatten (Sum),Belgium,Germany,0
12/01/2020,Eynatten (Sum),Belgium,Germany,0
01/01/2021,Eynatten (Sum),Belgium,Germany,0
02/01/2021,Eynatten (Sum),Belgium,Germany,0
03/01/2021,Eynatten (Sum),Belgium,Germany,214
04/01/2021,Eynatten (Sum),Belgium,Germany,143
05/01/2021,Eynatten (Sum),Belgium,Germany,25
06/01/2021,Eynatten (Sum),Belgium,Germany,21
07/01/2021,Eynatten (Sum),Belgium,Germany,1
08/01/2021,Eynatten (Sum),Belgium,Germany,6
09/01/2021,Eynatten (Sum),Belgium,Germany,151
10/01/2021,Eynatten (Sum),Belgium,Germany,755
11/01/2021,Eynatten (Sum),Belgium,Germany,213
12/01/2021,Eynatten (Sum),Belgium,Germany,294
01/01/2022,Eynatten (Sum),Belgium,Germany,989
02/01/2022,Eynatten (Sum),Belgium,Germany,1320
03/01/2022,Eynatten (Sum),Belgium,Germany,1499
04/01/2022,Eynatten (Sum),Belgium,Germany,2192
05/01/2022,Eynatten (Sum),Belgium,Germany,2122
06/01/2022,Eynatten (Sum),Belgium,Germany,2178
07/01/2022,Eynatten (Sum),Belgium,Germany,2331
08/01/2022,Eynatten (Sum),Belgium,Germany,2328
09/01/2022,Eynatten (Sum),Belgium,Germany,2236
10/01/2022,Eynatten (Sum),Belgium,Germany,2302
11/01/2022,Eynatten (Sum),Belgium,Germany,1914
12/01/2022,Eynatten (Sum),Belgium,Germany,2002
