country_or_region,year,variable,generation_twh
France,2016,Coal,10.23
France,2016,Fossil,56.45
France,2016,Gas,34.97
France,2016,Hydro,60.84
France,2016,Nuclear,403.2
France,2016,Other Fossil,11.25
France,2016,Other Renewables,0.6
France,2016,Solar,8.66
France,2016,Wind,21.38
France,2016,Wind and solar,30.04
France,2017,Bioenergy,7.78
France,2017,Clean,490.99
France,2017,Coal,12.81
France,2017,Fossil,65.09
France,2017,Gas,40.5
France,2017,Hydro,50
France,2017,Nuclear,398.36
France,2017,Other Fossil,11.78
France,2017,Other Renewables,0.65
France,2017,Solar,9.59
France,2017,Wind,24.61
France,2017,Wind and solar,34.2
France,2018,Bioenergy,8.38
France,2018,Clean,526.56
France,2018,Coal,8.31
France,2018,Fossil,49.27
France,2018,Gas,30.61
France,2018,Hydro,65.11
France,2018,Nuclear,412.94
France,2018,Other Fossil,10.35
France,2018,Other Renewables,0.61
France,2018,Solar,10.92
France,2018,Wind,28.6
France,2018,Wind and solar,39.52
France,2019,Bioenergy,8.64
France,2019,Clean,512.22
France,2019,Coal,3.64
France,2019,Fossil,53.5
France,2019,Gas,39.31
France,2019,Hydro,56.91
France,2019,Nuclear,399.01
France,2019,Other Fossil,10.55
France,2019,Other Renewables,0.61
France,2019,Solar,12.33
France,2019,Wind,34.72
France,2019,Wind and solar,47.05
France,2020,Bioenergy,8.76
France,2020,Clean,479.11
France,2020,Coal,3.09
France,2020,Fossil,48.14
France,2020,Gas,35.28
France,2020,Hydro,62.59
France,2020,Nuclear,353.83
France,2020,Other Fossil,9.77
France,2020,Other Renewables,0.61
France,2020,Solar,13.46
France,2020,Wind,39.86
France,2020,Wind and solar,53.32
France,2021,Bioenergy,9.6
France,2021,Clean,501.72
France,2021,Coal,5.44
France,2021,Fossil,48.66
France,2021,Gas,33.36
France,2021,Hydro,59.62
France,2021,Nuclear,379.36
France,2021,Other Fossil,9.86
France,2021,Other Renewables,0.58
France,2021,Solar,15.73
France,2021,Wind,36.83
France,2021,Wind and solar,52.56
France,2022,Bioenergy,10.02
France,2022,Clean,412.42
France,2022,Coal,4.4
France,2022,Fossil,57.06
France,2022,Gas,43
France,2022,Hydro,46.18
France,2022,Nuclear,297.2
France,2022,Other Fossil,9.66
France,2022,Other Renewables,0.58
France,2022,Solar,19.98
France,2022,Wind,38.46
France,2022,Wind and solar,58.44
